Generation, Elite_Fit, Best Fit, Peak Fit
0,-7.569837064940299,-7.569837064940299,2.1504917157817633
1,-7.421581468797839,-7.421581468797839,2.109634901502255
2,-7.359986202626704,-7.359986202626704,2.2159749097373305
3,-7.428960767091365,-7.359986202626704,2.2159749097373305
4,-7.049799419327759,-7.049799419327759,2.043223048086429
5,-7.438933731055665,-7.049799419327759,2.043223048086429
6,-6.963023362068583,-6.963023362068583,3.2643907927790163
7,-7.450261945694419,-6.963023362068583,3.2643907927790163
8,-7.131880405796377,-6.963023362068583,3.2643907927790163
9,-7.013839005981517,-6.963023362068583,3.2643907927790163
10,-7.21738337856803,-6.963023362068583,3.2643907927790163
11,-6.464679764512812,-6.464679764512812,3.7280044711518188
12,-6.887848853446877,-6.464679764512812,3.7280044711518188
13,-6.324211199150642,-6.324211199150642,3.8879578040690426
14,-6.805650699264572,-6.324211199150642,3.8879578040690426
15,-6.197732703494243,-6.197732703494243,3.9800314522099334
16,-6.822569366864582,-6.197732703494243,3.9800314522099334
17,-6.499149213702779,-6.197732703494243,3.9800314522099334
18,-6.490659881375639,-6.197732703494243,3.9800314522099334
19,-6.87640230816211,-6.197732703494243,3.9800314522099334
20,-5.9713166752027105,-5.9713166752027105,4.222095515745027
21,-6.757195145349587,-5.9713166752027105,4.222095515745027
22,-5.908526885322072,-5.908526885322072,4.3113843216913645
23,-6.8240320563060655,-5.908526885322072,4.3113843216913645
24,-5.87007078962488,-6.197732703494243,4.232329713353643
25,-6.414268805856172,-6.197732703494243,3.9800314522099334
26,-5.970892612411383,-5.970892612411383,4.220528242571621
27,-5.910279562538559,-5.910279562538559,4.210279679917178
28,-5.4592703128241595,-5.4592703128241595,4.261779503362622
29,-5.459603791802991,-5.4592703128241595,4.261779503362622
30,-5.876832248489134,-5.4592703128241595,4.261779503362622
31,-5.753174451249243,-5.4592703128241595,4.261779503362622
32,-6.109808580553214,-5.4592703128241595,4.261779503362622
33,-6.113279593416877,-5.4592703128241595,4.261779503362622
34,-6.184275919311709,-5.4592703128241595,4.261779503362622
35,-5.818990987989278,-5.4592703128241595,4.261779503362622
36,-6.3051869870050785,-5.4592703128241595,4.261779503362622
37,-5.449671875691059,-5.449671875691059,4.351340233787429
38,-5.5639338042127156,-5.449671875691059,4.351340233787429
39,-5.926724202246958,-5.449671875691059,4.351340233787429
40,-5.958807006887476,-5.449671875691059,4.351340233787429
41,-6.089372833119426,-5.449671875691059,4.351340233787429
