Generation, Elite_Fit, Best Fit, Peak Fit
0,-8.627617500772109,-8.627617500772109,-0.0542884674234953
1,-8.43267410054905,-8.43267410054905,0.17681450367991983
2,-8.192597947699667,-8.192597947699667,0.22445217366349104
3,-8.456001821063289,-8.192597947699667,0.22445217366349104
4,-8.111098989316233,-8.111098989316233,0.47626431307870315
5,-8.2814720287879,-8.111098989316233,0.47626431307870315
6,-7.975488942819401,-7.975488942819401,0.5921129913311407
7,-8.023820469439501,-7.975488942819401,0.5921129913311407
8,-8.112787018003647,-7.975488942819401,0.5921129913311407
9,-7.908186234036165,-7.908186234036165,0.7705156693478278
10,-8.080377842172659,-7.908186234036165,0.7705156693478278
11,-6.979757469507482,-6.979757469507482,1.3592580518526056
12,-7.685867305392173,-6.979757469507482,1.3592580518526056
13,-7.049016344849506,-6.979757469507482,1.3592580518526056
14,-7.456498692575216,-6.979757469507482,1.3592580518526056
15,-6.908861723552668,-6.908861723552668,1.3274078472265296
16,-7.379287288285525,-6.908861723552668,1.3274078472265296
17,-7.023891258394383,-6.908861723552668,1.3274078472265296
18,-7.08372949746619,-6.908861723552668,1.3274078472265296
19,-7.402703086395626,-6.908861723552668,1.3274078472265296
20,-6.710634714172173,-6.710634714172173,1.4189676549323795
21,-7.395484552702446,-6.710634714172173,1.4189676549323795
22,-6.7605557304762405,-6.710634714172173,1.4189676549323795
23,-7.297419401855254,-6.710634714172173,1.4189676549323795
24,-6.641015209801274,-6.908861723552668,1.3033848398293462
25,-7.173363722604271,-6.908861723552668,1.3274078472265296
26,-6.614727532373707,-6.614727532373707,1.3415070539996654
27,-6.507222569635719,-6.507222569635719,1.4062177946629628
28,-6.221543256730482,-6.221543256730482,1.4289968594394626
29,-6.302681854120095,-6.221543256730482,1.4289968594394626
30,-6.618349579607469,-6.221543256730482,1.4289968594394626
31,-6.890328813063772,-6.221543256730482,1.4289968594394626
32,-7.046156169381969,-6.221543256730482,1.4289968594394626
33,-7.0218825698269,-6.221543256730482,1.4289968594394626
34,-7.141709123376487,-6.221543256730482,1.4289968594394626
35,-6.662047743111299,-6.221543256730482,1.4289968594394626
36,-6.670001575681202,-6.221543256730482,1.4289968594394626
37,-6.1458917895648035,-6.1458917895648035,2.288966661268029
38,-6.101315760885751,-6.101315760885751,2.390403151581791
39,-6.603233115865319,-6.101315760885751,2.390403151581791
40,-6.310535796719642,-6.101315760885751,2.390403151581791
41,-6.81704389781687,-6.101315760885751,2.390403151581791
42,-6.454855183097159,-6.101315760885751,2.390403151581791
43,-6.498319535382767,-6.101315760885751,2.390403151581791
44,-6.195362022440782,-6.101315760885751,2.390403151581791
45,-5.992914176522859,-5.992914176522859,2.2915184188367186
46,-6.073320753364954,-5.992914176522859,2.2915184188367186
47,-6.095074143262129,-5.992914176522859,2.2915184188367186
48,-6.097463991897023,-5.992914176522859,2.2915184188367186
49,-6.243401326340114,-5.992914176522859,2.2915184188367186
50,-6.773531312727748,-5.992914176522859,2.2915184188367186
51,-6.587392359876589,-5.992914176522859,2.2915184188367186
52,-6.617309008466424,-5.992914176522859,2.2915184188367186
53,-6.082932619597749,-5.992914176522859,2.2915184188367186
54,-6.487983579786653,-5.992914176522859,2.2915184188367186
55,-6.2241559808838645,-5.992914176522859,2.2915184188367186
56,-6.811017436235217,-5.992914176522859,2.2915184188367186
57,-6.135089465372444,-5.992914176522859,2.2915184188367186
58,-6.394022305535079,-5.992914176522859,2.2915184188367186
59,-6.593229572838072,-5.992914176522859,2.2915184188367186
60,-6.4102832469303115,-5.992914176522859,2.2915184188367186
61,-6.521400742301151,-5.992914176522859,2.2915184188367186
62,-6.1525186172665585,-5.992914176522859,2.2915184188367186
63,-6.463536386921095,-5.992914176522859,2.2915184188367186
64,-6.405914198704102,-5.992914176522859,2.2915184188367186
65,-6.280156186633356,-5.992914176522859,2.2915184188367186
66,-6.278767596324939,-5.992914176522859,2.2915184188367186
67,-6.197906756262093,-5.992914176522859,2.2915184188367186
68,-6.3232720289966196,-5.992914176522859,2.2915184188367186
69,-6.0217757170732895,-5.992914176522859,2.2915184188367186
70,-6.031786059179285,-5.992914176522859,2.2915184188367186
71,-6.215567156397385,-5.992914176522859,2.2915184188367186
72,-6.056904531193698,-5.992914176522859,2.2915184188367186
73,-6.074803201307135,-5.992914176522859,2.2915184188367186
74,-6.393268594856797,-5.992914176522859,2.2915184188367186
75,-6.2388621867876,-5.992914176522859,2.2915184188367186
76,-6.138113494210774,-5.992914176522859,2.2915184188367186
77,-6.18474074924701,-5.992914176522859,2.2915184188367186
78,-6.204020152686791,-5.992914176522859,2.2915184188367186
79,-6.111693943201469,-5.992914176522859,2.2915184188367186
80,-6.098838512391353,-5.992914176522859,2.2915184188367186
81,-6.072295318441356,-5.992914176522859,2.2915184188367186
82,-6.146141132054148,-5.992914176522859,2.2915184188367186
83,-6.1210535892907165,-5.992914176522859,2.2915184188367186
84,-6.0842863595122125,-5.992914176522859,2.2915184188367186
85,-6.154309343167459,-5.992914176522859,2.2915184188367186
86,-6.374340975599181,-5.992914176522859,2.2915184188367186
87,-7.858589743247968,-5.992914176522859,2.2915184188367186
88,-7.507643882955089,-5.992914176522859,2.2915184188367186
89,-7.225467102631204,-5.992914176522859,2.2915184188367186
90,-7.253669520801549,-5.992914176522859,2.2915184188367186
91,-7.327845446498937,-5.992914176522859,2.2915184188367186
92,-7.207153120260846,-5.992914176522859,2.2915184188367186
93,-7.256926420357278,-5.992914176522859,2.2915184188367186
94,-6.9066873131991,-5.992914176522859,2.2915184188367186
95,-7.021213304618175,-5.992914176522859,2.2915184188367186
96,-7.4052520495612795,-5.992914176522859,2.2915184188367186
97,-6.762930295003972,-5.992914176522859,2.2915184188367186
98,-6.796965568816643,-5.992914176522859,2.2915184188367186
99,-6.818463237138748,-5.992914176522859,2.2915184188367186
100,-6.651225357241105,-5.992914176522859,2.2915184188367186
101,-6.653712979365717,-5.992914176522859,2.2915184188367186
102,-6.675349228061556,-5.992914176522859,2.2915184188367186
103,-6.972616515227469,-5.992914176522859,2.2915184188367186
104,-6.972815158614865,-5.992914176522859,2.2915184188367186
105,-7.254325475975111,-5.992914176522859,2.2915184188367186
106,-6.967756827313458,-5.992914176522859,2.2915184188367186
107,-6.994322650017499,-5.992914176522859,2.2915184188367186
108,-6.439091681362057,-5.992914176522859,2.2915184188367186
109,-6.565255500959549,-5.992914176522859,2.2915184188367186
110,-6.61184578525473,-5.992914176522859,2.2915184188367186
111,-6.820064600316997,-5.992914176522859,2.2915184188367186
112,-7.061819558728742,-5.992914176522859,2.2915184188367186
113,-6.810847125672563,-5.992914176522859,2.2915184188367186
114,-6.773444527964806,-5.992914176522859,2.2915184188367186
115,-6.72378961065142,-5.992914176522859,2.2915184188367186
116,-7.200706320820885,-5.992914176522859,2.2915184188367186
117,-6.255440857780033,-5.992914176522859,2.2915184188367186
118,-6.241596627171064,-5.992914176522859,2.2915184188367186
119,-6.123813988076115,-5.992914176522859,2.2915184188367186
120,-6.552140799813298,-5.992914176522859,2.2915184188367186
121,-6.5553526695573465,-5.992914176522859,2.2915184188367186
122,-6.57493026891878,-5.992914176522859,2.2915184188367186
123,-6.93678071970168,-5.992914176522859,2.2915184188367186
124,-6.415998519346238,-5.992914176522859,2.2915184188367186
125,-6.424550571137565,-5.992914176522859,2.2915184188367186
126,-6.148747568985119,-5.992914176522859,2.2915184188367186
127,-6.058622585609139,-5.992914176522859,2.2915184188367186
128,-5.98903495214049,-5.992914176522859,3.0238599140354396
129,-6.318845855400093,-5.992914176522859,2.2915184188367186
130,-6.350183231381808,-5.992914176522859,2.2915184188367186
131,-6.756720618036361,-5.992914176522859,2.2915184188367186
132,-5.943909257094957,-5.943909257094957,3.0552948345262254
133,-6.758596432267051,-5.943909257094957,3.0552948345262254
134,-5.856295134481812,-5.856295134481812,3.059114033364374
135,-6.864312445602189,-5.856295134481812,3.059114033364374
136,-5.95754991191433,-5.856295134481812,3.059114033364374
137,-6.620388708862772,-5.856295134481812,3.059114033364374
138,-6.403002660846511,-5.856295134481812,3.059114033364374
139,-6.358855904597611,-5.856295134481812,3.059114033364374
140,-6.442245493803273,-5.856295134481812,3.059114033364374
141,-6.071100155924694,-5.856295134481812,3.059114033364374
142,-7.172356493173577,-5.856295134481812,3.059114033364374
143,-6.070156472208672,-5.856295134481812,3.059114033364374
