Generation, Elite_Fit, Best Fit, Peak Fit
0,-7.914054079745559,-7.914054079745559,1.0373168341340504
1,-7.623734514861752,-7.623734514861752,1.2608195157709046
2,-7.523495169231109,-7.523495169231109,1.146418285922672
3,-7.732083519723781,-7.523495169231109,1.146418285922672
4,-7.257344711637263,-7.257344711637263,1.827729541912279
5,-7.5599344314253445,-7.257344711637263,1.827729541912279
6,-7.290235430784673,-7.257344711637263,1.827729541912279
7,-7.460052283756049,-7.257344711637263,1.827729541912279
8,-7.461567723887051,-7.257344711637263,1.827729541912279
9,-7.353886983560256,-7.257344711637263,1.827729541912279
10,-7.418478512007245,-7.257344711637263,1.827729541912279
11,-6.770781419208155,-6.770781419208155,2.446944488922821
12,-7.331804139774,-6.770781419208155,2.446944488922821
13,-6.731189057142003,-6.731189057142003,2.5091377908545156
14,-7.248470960776017,-6.731189057142003,2.5091377908545156
15,-6.477382696546006,-6.477382696546006,2.7954915214242626
16,-6.996739828749632,-6.477382696546006,2.7954915214242626
17,-6.49699089953389,-6.477382696546006,2.7954915214242626
18,-6.756321681877754,-6.477382696546006,2.7954915214242626
19,-7.160345623102736,-6.477382696546006,2.7954915214242626
20,-6.476472795088113,-6.476472795088113,2.169844944254393
21,-7.2422162602358275,-6.476472795088113,2.169844944254393
22,-6.390963997647276,-6.390963997647276,2.266234804724262
23,-7.191399860988327,-6.390963997647276,2.266234804724262
24,-6.400844436651227,-6.390963997647276,2.266234804724262
25,-7.13372060995404,-6.390963997647276,2.266234804724262
26,-6.732016797513116,-6.390963997647276,2.266234804724262
27,-6.2424483901462,-6.2424483901462,2.391530659597793
28,-6.6409178318010715,-6.2424483901462,2.391530659597793
29,-5.84018909736757,-5.84018909736757,2.3416248851737644
30,-6.653237102132413,-5.84018909736757,2.3416248851737644
31,-5.344768373732497,-5.344768373732497,2.5052779682735187
32,-6.793437024851117,-5.344768373732497,2.5052779682735187
33,-5.885677165845774,-5.344768373732497,2.5052779682735187
34,-6.45653525761271,-5.344768373732497,2.5052779682735187
35,-6.122595687137431,-5.344768373732497,2.5052779682735187
36,-6.133328574708653,-5.344768373732497,2.5052779682735187
37,-6.275309261653335,-5.344768373732497,2.5052779682735187
38,-5.917773638599626,-5.344768373732497,2.5052779682735187
39,-6.749906444626091,-5.344768373732497,2.5052779682735187
40,-5.32965483992058,-5.344768373732497,2.61096472695259
41,-5.7787529431514,-5.344768373732497,2.5052779682735187
42,-5.774984622723115,-5.344768373732497,2.5052779682735187
43,-5.973479087330953,-5.344768373732497,2.5052779682735187
44,-5.46437868368433,-5.344768373732497,2.5052779682735187
45,-5.414719571151569,-5.344768373732497,2.5052779682735187
46,-5.28348795386312,-5.28348795386312,2.7398692673934124
47,-5.426291720726776,-5.28348795386312,2.7398692673934124
48,-5.5268125867988935,-5.28348795386312,2.7398692673934124
49,-5.453023551912967,-5.28348795386312,2.7398692673934124
50,-5.780029226773621,-5.28348795386312,2.7398692673934124
51,-5.956395210769602,-5.28348795386312,2.7398692673934124
52,-5.530092425714966,-5.28348795386312,2.7398692673934124
53,-3.8116454226036454,-3.8116454226036454,2.7872073447087096
54,-3.87104659084083,-3.8116454226036454,2.7872073447087096
55,-3.9052121248787977,-3.8116454226036454,2.7872073447087096
56,-4.329565067899096,-3.8116454226036454,2.7872073447087096
57,-4.290950275376622,-3.8116454226036454,2.7872073447087096
58,-4.609146870065924,-3.8116454226036454,2.7872073447087096
59,-4.7241521318928905,-3.8116454226036454,2.7872073447087096
60,-4.5863024581243,-3.8116454226036454,2.7872073447087096
61,-5.476932309380351,-3.8116454226036454,2.7872073447087096
62,-4.231942825500606,-3.8116454226036454,2.7872073447087096
63,-4.155612002569604,-3.8116454226036454,2.7872073447087096
64,-4.223545979074928,-3.8116454226036454,2.7872073447087096
65,-5.154220146664462,-3.8116454226036454,2.7872073447087096
66,-4.469573622971011,-3.8116454226036454,2.7872073447087096
67,-4.872795722205711,-3.8116454226036454,2.7872073447087096
68,-4.788289242916942,-3.8116454226036454,2.7872073447087096
69,-4.828353282973089,-3.8116454226036454,2.7872073447087096
70,-4.893209661545989,-3.8116454226036454,2.7872073447087096
71,-4.990223361876009,-3.8116454226036454,2.7872073447087096
72,-5.116374085702378,-3.8116454226036454,2.7872073447087096
73,-5.115426353052157,-3.8116454226036454,2.7872073447087096
74,-4.851425766563039,-3.8116454226036454,2.7872073447087096
75,-5.0941254763590464,-3.8116454226036454,2.7872073447087096
76,-4.5949569720803725,-3.8116454226036454,2.7872073447087096
77,-4.560185721483602,-3.8116454226036454,2.7872073447087096
78,-4.601681643596524,-3.8116454226036454,2.7872073447087096
79,-4.683622449666516,-3.8116454226036454,2.7872073447087096
80,-4.556078967754135,-3.8116454226036454,2.7872073447087096
81,-4.583394181119874,-3.8116454226036454,2.7872073447087096
82,-4.542278653031109,-3.8116454226036454,2.7872073447087096
83,-4.32582646688168,-3.8116454226036454,2.7872073447087096
84,-4.31401990536803,-3.8116454226036454,2.7872073447087096
85,-3.055435514166346,-3.055435514166346,1.8855911774271104
86,-3.473325641835284,-3.055435514166346,1.8855911774271104
87,-3.2381390336480407,-3.055435514166346,1.8855911774271104
88,-4.141320428450131,-3.055435514166346,1.8855911774271104
89,-3.2878402632389285,-3.055435514166346,1.8855911774271104
90,-4.073253185927256,-3.055435514166346,1.8855911774271104
91,-3.4029914142086946,-3.055435514166346,1.8855911774271104
92,-3.492862875082482,-3.055435514166346,1.8855911774271104
93,-3.6094518688754835,-3.055435514166346,1.8855911774271104
94,-3.466806086076802,-3.055435514166346,1.8855911774271104
95,-3.1999654361770222,-3.055435514166346,1.8855911774271104
96,-3.749262572562644,-3.055435514166346,1.8855911774271104
97,-3.513357912114119,-3.055435514166346,1.8855911774271104
98,-3.794186214935649,-3.055435514166346,1.8855911774271104
99,-3.749630156293376,-3.055435514166346,1.8855911774271104
100,-3.4694457372109184,-3.055435514166346,1.8855911774271104
101,-4.003408033658789,-3.055435514166346,1.8855911774271104
102,-4.050198681554143,-3.055435514166346,1.8855911774271104
103,-3.228322096354564,-3.055435514166346,1.8855911774271104
104,-3.6075202677262297,-3.055435514166346,1.8855911774271104
105,-3.2388303404284695,-3.055435514166346,1.8855911774271104
106,-2.7183694208886138,-2.7183694208886138,2.5088704090959353
107,-2.848119050148956,-2.7183694208886138,2.5088704090959353
108,-2.6272178357617406,-2.6272178357617406,2.4712627999088337
109,-2.7191872249872495,-2.6272178357617406,2.4712627999088337
110,-2.740727748904341,-2.6272178357617406,2.4712627999088337
111,-2.587514367054351,-2.587514367054351,2.3050043496935526
112,-2.612650388145289,-2.587514367054351,2.3050043496935526
113,-2.588800991174889,-2.587514367054351,2.3050043496935526
114,-2.785669408468596,-2.587514367054351,2.3050043496935526
115,-3.2146773277496052,-2.587514367054351,2.3050043496935526
116,-5.049447549106293,-2.587514367054351,2.3050043496935526
117,-2.644522347364449,-2.587514367054351,2.3050043496935526
118,-3.9816283691287513,-2.587514367054351,2.3050043496935526
119,-4.134962447652842,-2.587514367054351,2.3050043496935526
120,-2.9392332772117253,-2.587514367054351,2.3050043496935526
121,-2.6969443873803463,-2.587514367054351,2.3050043496935526
122,-2.7236174668038,-2.587514367054351,2.3050043496935526
123,-2.874089366571171,-2.587514367054351,2.3050043496935526
124,-2.745534769296634,-2.587514367054351,2.3050043496935526
125,-2.525755377459862,-2.525755377459862,2.455250842888326
126,-2.651534598400814,-2.525755377459862,2.455250842888326
127,-2.5769958092253376,-2.525755377459862,2.455250842888326
128,-2.559371025637048,-2.525755377459862,2.455250842888326
129,-2.4224264036200576,-2.4224264036200576,2.542865452524016
130,-2.5512802025804127,-2.4224264036200576,2.542865452524016
131,-2.3654434727939253,-2.3654434727939253,2.656776521315884
132,-2.3360980043595805,-2.3360980043595805,2.634950196049142
133,-2.427836193152513,-2.3360980043595805,2.634950196049142
134,-2.6230966704237546,-2.3360980043595805,2.634950196049142
135,-2.377822022610473,-2.3360980043595805,2.634950196049142
136,-2.3775947117325784,-2.3360980043595805,2.634950196049142
137,-1.5714691331527828,-1.5714691331527828,1.77253348736246
138,-2.039176602172926,-1.5714691331527828,1.77253348736246
139,-1.9915642483746236,-1.5714691331527828,1.77253348736246
140,-5.226797475622862,-1.5714691331527828,1.77253348736246
141,-4.510500094802126,-1.5714691331527828,1.77253348736246
142,-4.152291034731461,-1.5714691331527828,1.77253348736246
143,-5.094860338174679,-1.5714691331527828,1.77253348736246
144,-2.1574045349436477,-1.5714691331527828,1.77253348736246
145,-2.3735331932538735,-1.5714691331527828,1.77253348736246
146,-1.8752298538182188,-1.5714691331527828,1.77253348736246
147,-2.397129572547347,-1.5714691331527828,1.77253348736246
148,-2.3055789768449486,-1.5714691331527828,1.77253348736246
149,-2.4674365346971268,-1.5714691331527828,1.77253348736246
150,-4.351500801517498,-1.5714691331527828,1.77253348736246
151,-1.8028535090206168,-1.5714691331527828,1.77253348736246
152,-2.6443612289030227,-1.5714691331527828,1.77253348736246
153,-2.343428295726048,-1.5714691331527828,1.77253348736246
154,-3.4201764759506594,-1.5714691331527828,1.77253348736246
155,-2.476478989536724,-1.5714691331527828,1.77253348736246
156,-2.3683415673414805,-1.5714691331527828,1.77253348736246
157,-1.9784529420155643,-1.5714691331527828,1.77253348736246
158,-2.055434029929867,-1.5714691331527828,1.77253348736246
159,-2.1793198349420138,-1.5714691331527828,1.77253348736246
160,-2.1005097825028485,-1.5714691331527828,1.77253348736246
161,-2.133841946844307,-1.5714691331527828,1.77253348736246
162,-1.9710737963330833,-1.5714691331527828,1.77253348736246
163,-2.094301607591908,-1.5714691331527828,1.77253348736246
164,-2.072273270324013,-1.5714691331527828,1.77253348736246
165,-2.0473702402394593,-1.5714691331527828,1.77253348736246
166,-2.0598684127922553,-1.5714691331527828,1.77253348736246
167,-2.200404786429319,-1.5714691331527828,1.77253348736246
168,-2.0600495606567955,-1.5714691331527828,1.77253348736246
169,-2.1878772407381093,-1.5714691331527828,1.77253348736246
170,-2.3432557643819103,-1.5714691331527828,1.77253348736246
171,-2.186836390056008,-1.5714691331527828,1.77253348736246
172,-1.9992768585122433,-1.5714691331527828,1.77253348736246
173,-2.3814179249602265,-1.5714691331527828,1.77253348736246
174,-2.0116551721616234,-1.5714691331527828,1.77253348736246
175,-2.0424872723527367,-1.5714691331527828,1.77253348736246
176,-2.4539548680480903,-1.5714691331527828,1.77253348736246
177,-2.235060379788457,-1.5714691331527828,1.77253348736246
178,-2.6858242120666005,-1.5714691331527828,1.77253348736246
179,-2.3073400701542055,-1.5714691331527828,1.77253348736246
180,-2.4451698876963253,-1.5714691331527828,1.77253348736246
181,-2.0253605777148387,-1.5714691331527828,1.77253348736246
182,-2.1041042688019473,-1.5714691331527828,1.77253348736246
183,-2.2070997225523983,-1.5714691331527828,1.77253348736246
184,-2.1644264681941516,-1.5714691331527828,1.77253348736246
185,-2.281590495819468,-1.5714691331527828,1.77253348736246
186,-2.3393803678832357,-1.5714691331527828,1.77253348736246
187,-2.3215179371664076,-1.5714691331527828,1.77253348736246
188,-1.4705181893291925,-1.4705181893291925,1.7380574469129366
189,-1.6357605738268175,-1.4705181893291925,1.7380574469129366
190,-1.8399757898304188,-1.4705181893291925,1.7380574469129366
191,-1.4555114971476792,-1.4555114971476792,1.790640774112566
192,-1.7353785673064968,-1.4555114971476792,1.790640774112566
193,-1.3918812814503034,-1.3918812814503034,1.6609251605911295
194,-1.094935061555769,-1.094935061555769,2.091531972867168
195,-1.3244789912952815,-1.094935061555769,2.091531972867168
196,-1.836999960416743,-1.094935061555769,2.091531972867168
197,-2.242244101889517,-1.094935061555769,2.091531972867168
198,-1.3941162547712873,-1.094935061555769,2.091531972867168
199,-0.6357603181190037,-0.6357603181190037,1.5484732447161154
200,-0.645515047082021,-0.6357603181190037,1.5484732447161154
201,-0.86768561923544,-0.6357603181190037,1.5484732447161154
202,-0.8250750943882016,-0.6357603181190037,1.5484732447161154
203,-0.765465774999833,-0.6357603181190037,1.5484732447161154
204,-1.5033148872035043,-0.6357603181190037,1.5484732447161154
205,-1.0224828269869306,-0.6357603181190037,1.5484732447161154
206,-1.1425892908486264,-0.6357603181190037,1.5484732447161154
207,-1.0796791645569843,-0.6357603181190037,1.5484732447161154
208,-1.098556831070671,-0.6357603181190037,1.5484732447161154
209,-1.0238451682897427,-0.6357603181190037,1.5484732447161154
210,-1.0103336132131735,-0.6357603181190037,1.5484732447161154
211,-1.8527632270627195,-0.6357603181190037,1.5484732447161154
212,-1.4335318037131222,-0.6357603181190037,1.5484732447161154
213,-1.6349194608820736,-0.6357603181190037,1.5484732447161154
214,-1.5384500193247879,-0.6357603181190037,1.5484732447161154
215,-1.6369970670725689,-0.6357603181190037,1.5484732447161154
216,-1.1375975169773485,-0.6357603181190037,1.5484732447161154
217,-0.7928057790086727,-0.6357603181190037,1.5484732447161154
218,-0.9981156295640741,-0.6357603181190037,1.5484732447161154
219,-1.3891284148665415,-0.6357603181190037,1.5484732447161154
220,-1.3463079466283958,-0.6357603181190037,1.5484732447161154
