8.00e+00,1.99e+01,5.77e+01,5.77e+01,2.27e+02,7.00e+00,3.00e+00
1.60e+01,4.73e+01,6.81e+01,6.81e+01,1.64e+02,7.00e+00,3.00e+00
2.40e+01,8.15e+01,8.44e+01,8.44e+01,2.46e+02,7.00e+00,3.00e+00
3.20e+01,7.07e+01,7.07e+01,8.44e+01,2.46e+02,7.00e+00,2.00e+00
4.00e+01,1.33e+02,1.33e+02,1.33e+02,3.23e+02,7.00e+00,2.00e+00
4.80e+01,1.02e+02,1.83e+02,1.83e+02,3.91e+02,7.50e+00,2.50e+00
5.60e+01,1.30e+02,1.76e+02,1.83e+02,3.91e+02,8.00e+00,3.00e+00
6.40e+01,1.46e+02,1.66e+02,1.83e+02,3.91e+02,8.00e+00,3.00e+00
7.20e+01,6.90e+01,1.82e+02,1.83e+02,3.91e+02,8.00e+00,3.00e+00
8.00e+01,1.49e+02,1.90e+02,1.90e+02,4.56e+02,8.00e+00,3.00e+00
8.80e+01,1.57e+02,1.92e+02,1.92e+02,4.41e+02,8.00e+00,3.50e+00
9.60e+01,1.37e+02,1.94e+02,1.94e+02,4.10e+02,8.00e+00,3.00e+00
1.04e+02,9.38e+01,1.91e+02,1.94e+02,4.10e+02,8.00e+00,3.00e+00
1.12e+02,1.06e+02,1.81e+02,1.94e+02,4.10e+02,8.00e+00,3.50e+00
1.20e+02,1.56e+02,1.95e+02,1.95e+02,4.33e+02,8.00e+00,4.00e+00
1.28e+02,7.22e+01,2.19e+02,2.19e+02,5.04e+02,8.00e+00,3.50e+00
1.36e+02,1.48e+02,2.11e+02,2.19e+02,5.04e+02,8.00e+00,5.00e+00
