Generation, Elite_Fit, Best Fit, Peak Fit
0,-8.476698230696442,-8.476698230696442,0.2853522430512505
1,-8.430197372192824,-8.430197372192824,0.2713634680618803
2,-8.415203521546555,-8.415203521546555,0.11371119418746813
3,-8.558442346644762,-8.415203521546555,0.11371119418746813
4,-7.955274795607593,-7.955274795607593,0.24783433527331056
5,-8.419967826880152,-7.955274795607593,0.24783433527331056
6,-8.211466341573944,-7.955274795607593,0.24783433527331056
7,-8.48306232382044,-7.955274795607593,0.24783433527331056
8,-8.303742464603685,-7.955274795607593,0.24783433527331056
9,-8.056040420236416,-7.955274795607593,0.24783433527331056
10,-8.274451213371787,-7.955274795607593,0.24783433527331056
11,-7.847842102479105,-7.847842102479105,0.9985375656688756
12,-8.211687826339586,-7.847842102479105,0.9985375656688756
13,-7.610673313281867,-7.610673313281867,1.6557308213052986
14,-8.66665847126606,-7.610673313281867,1.6557308213052986
15,-7.701688018142561,-7.610673313281867,1.6557308213052986
16,-8.113947795860586,-7.610673313281867,1.6557308213052986
17,-7.861316019702799,-7.610673313281867,1.6557308213052986
18,-7.78948759887178,-7.610673313281867,1.6557308213052986
19,-8.041465619930882,-7.610673313281867,1.6557308213052986
20,-7.136946377832772,-7.136946377832772,1.5608122792355301
21,-8.025860668773339,-7.136946377832772,1.5608122792355301
22,-7.164634798991799,-7.136946377832772,1.5608122792355301
23,-8.085108278882862,-7.136946377832772,1.5608122792355301
24,-7.211390879333774,-7.136946377832772,1.5608122792355301
25,-7.950862982841078,-7.136946377832772,1.5608122792355301
26,-7.428244919700166,-7.136946377832772,1.5608122792355301
27,-7.392493851223644,-7.136946377832772,1.5608122792355301
28,-7.652354811474399,-7.136946377832772,1.5608122792355301
29,-6.895930470854083,-6.895930470854083,2.2142095749724833
30,-7.947321205493842,-6.895930470854083,2.2142095749724833
31,-6.480613027804771,-6.480613027804771,2.169676375757349
32,-7.853622288888286,-6.480613027804771,2.169676375757349
33,-6.728415953322643,-6.480613027804771,2.169676375757349
34,-7.435342399233,-6.480613027804771,2.169676375757349
35,-7.118920442622701,-6.480613027804771,2.169676375757349
36,-7.035564207752786,-6.480613027804771,2.169676375757349
37,-7.186588893604886,-6.480613027804771,2.169676375757349
38,-6.5602416105500545,-6.480613027804771,2.169676375757349
39,-7.593912593631891,-6.480613027804771,2.169676375757349
40,-6.676459251205098,-6.480613027804771,2.169676375757349
41,-7.903334837322869,-6.480613027804771,2.169676375757349
42,-6.653156179352293,-6.480613027804771,2.169676375757349
43,-7.415304321240036,-6.480613027804771,2.169676375757349
44,-6.846176170226734,-6.480613027804771,2.169676375757349
45,-6.886493574780109,-6.480613027804771,2.169676375757349
46,-7.485716286884262,-6.480613027804771,2.169676375757349
47,-6.825721037201052,-6.480613027804771,2.169676375757349
48,-7.749430961884262,-6.480613027804771,2.169676375757349
49,-6.3995930200375435,-6.3995930200375435,2.0556039095237266
50,-8.01066458764612,-6.3995930200375435,2.0556039095237266
51,-6.486362723379357,-6.3995930200375435,2.0556039095237266
52,-7.43306896904263,-6.3995930200375435,2.0556039095237266
53,-7.107784904628731,-6.3995930200375435,2.0556039095237266
54,-6.867828086380949,-6.3995930200375435,2.0556039095237266
55,-7.1384351042280265,-6.3995930200375435,2.0556039095237266
56,-6.8008560707162395,-6.3995930200375435,2.0556039095237266
57,-7.840760014395442,-6.3995930200375435,2.0556039095237266
58,-6.563114828961713,-6.3995930200375435,2.0556039095237266
59,-7.411099135832591,-6.3995930200375435,2.0556039095237266
60,-6.581969035400921,-6.3995930200375435,2.0556039095237266
61,-7.156625776317223,-6.3995930200375435,2.0556039095237266
