Generation, Elite_Fit, Best Fit, Peak Fit
0,-8.263731463483024,-8.263731463483024,1.3725971926470628
1,-8.112773119746608,-8.112773119746608,1.4308594166700839
2,-8.060918934597955,-8.060918934597955,1.3025066839215966
3,-8.13706287416797,-8.060918934597955,1.3025066839215966
4,-7.486996950639476,-7.486996950639476,1.2406699388249331
5,-7.606461457737055,-7.486996950639476,1.2406699388249331
6,-7.329199709272491,-7.329199709272491,1.333363158575067
7,-7.998799341884381,-7.329199709272491,1.333363158575067
8,-7.732468794133774,-7.329199709272491,1.333363158575067
9,-7.71511614017217,-7.329199709272491,1.333363158575067
10,-7.867422481106748,-7.329199709272491,1.333363158575067
11,-7.42413137456694,-7.329199709272491,1.333363158575067
12,-7.902459704168898,-7.329199709272491,1.333363158575067
13,-7.464668159826496,-7.329199709272491,1.333363158575067
14,-7.641258211222475,-7.329199709272491,1.333363158575067
15,-7.215460911067201,-7.215460911067201,1.018577918068987
16,-7.794197751011232,-7.215460911067201,1.018577918068987
17,-7.208203187842467,-7.208203187842467,1.4380082047066542
18,-7.274461783629408,-7.208203187842467,1.4380082047066542
19,-7.835495496428315,-7.208203187842467,1.4380082047066542
20,-6.9495244150317,-6.9495244150317,1.3878974187706
21,-7.699671552639326,-6.9495244150317,1.3878974187706
22,-7.047864080310603,-6.9495244150317,1.3878974187706
23,-7.549562454620596,-6.9495244150317,1.3878974187706
24,-6.562953191517255,-7.208203187842467,1.788714459333563
25,-7.216734630990511,-7.208203187842467,1.4380082047066542
26,-6.746790401873227,-6.746790401873227,1.4344146222842635
27,-6.786115690236905,-6.746790401873227,1.4344146222842635
28,-6.393241866737629,-6.393241866737629,1.1655456441742436
29,-6.638429562973575,-6.393241866737629,1.1655456441742436
30,-6.796397353489438,-6.393241866737629,1.1655456441742436
31,-6.832734414833045,-6.393241866737629,1.1655456441742436
32,-7.05168322870941,-6.393241866737629,1.1655456441742436
33,-6.962630245790158,-6.393241866737629,1.1655456441742436
34,-7.001094346424803,-6.393241866737629,1.1655456441742436
35,-6.805168185643382,-6.393241866737629,1.1655456441742436
36,-6.713209687610832,-6.393241866737629,1.1655456441742436
37,-8.40038863565143,-6.393241866737629,1.1655456441742436
38,-7.644825927910088,-6.393241866737629,1.1655456441742436
39,-6.704116774911075,-6.393241866737629,1.1655456441742436
40,-6.652119380021283,-6.393241866737629,1.1655456441742436
41,-6.769590184740635,-6.393241866737629,1.1655456441742436
42,-6.7948438776467315,-6.393241866737629,1.1655456441742436
43,-6.673342907360218,-6.393241866737629,1.1655456441742436
44,-6.391345624849464,-6.391345624849464,1.9954796232810716
45,-6.439024807454494,-6.391345624849464,1.9954796232810716
46,-6.323393864868804,-6.323393864868804,1.4049983663149852
47,-6.429305566311544,-6.323393864868804,1.4049983663149852
48,-6.293186453555229,-6.393241866737629,1.6504514780121404
49,-6.753390974600554,-6.393241866737629,1.1655456441742436
50,-6.265972727216039,-6.265972727216039,1.1199239555031657
51,-7.12931984822614,-6.265972727216039,1.1199239555031657
52,-6.019985221752108,-6.019985221752108,1.4823324905541881
53,-6.761250044082254,-6.019985221752108,1.4823324905541881
54,-5.8381184160346296,-5.8381184160346296,1.7055335892100967
55,-6.587142304289979,-5.8381184160346296,1.7055335892100967
56,-5.901522604353055,-5.8381184160346296,1.7055335892100967
57,-6.077152920535126,-5.8381184160346296,1.7055335892100967
58,-6.11181152166927,-5.8381184160346296,1.7055335892100967
59,-5.792112198890474,-5.792112198890474,1.8200450130612025
60,-6.252928558998568,-5.792112198890474,1.8200450130612025
61,-5.817369780560724,-5.792112198890474,1.8200450130612025
62,-6.634837976149638,-5.792112198890474,1.8200450130612025
63,-5.800147746485975,-5.792112198890474,1.8200450130612025
64,-6.330413965876002,-5.792112198890474,1.8200450130612025
